fraction,train_count,train_rmse,test_rmse
0.1,592489,2.621169404163248,2.617886232557345
0.2,1185209,2.61847077140608,2.6147900158311086
0.4,2371439,2.61839540883783,2.617439776058946
0.6,3555867,2.6199213923719418,2.6196699019753216
0.8,4742399,2.62508834758823,2.625693125274785
1.0,5928423,2.615354153554916,2.6142637453477944
