Predicted_Temperature_C,Actual_Temperature_C
-1.3912637184210226,0.0
-1.4682642440017801,-2.7
9.739732972188762,11.0
20.819827670894924,19.8
16.0702900935868,15.5
-0.47536294296212134,-0.9
-0.0558248147641649,0.0
17.094501073439147,15.6
7.660466430565606,6.4
12.603211820344008,13.0
23.741039380901505,23.0
15.627407935465342,14.2
10.939485342861417,12.2
12.195909879814018,12.0
3.9869112934458144,3.4
12.005279565247953,12.2
18.231902558726233,17.2
11.81314180443156,12.2
16.00699481553594,14.7
15.89721262338717,15.2
21.064435673576455,20.2
-2.3251765460900344,-1.5
14.213230525901743,14.1
15.781069234497707,15.5
9.922587841440134,9.0
17.276518256791,17.0
20.313909454514672,19.5
16.483194333149854,16.0
14.746977830873057,15.5
20.37471456261595,19.7
9.21348638250766,9.5
22.95658562744879,21.5
16.227887288378724,16.5
19.03235466222253,18.2
25.111304194138782,24.7
12.531456766570301,12.6
19.22870633209329,18.4
20.564275493288378,19.1
14.216525525404286,14.6
12.852095485454846,13.7
20.938900872787876,20.5
17.993845066700352,18.5
-5.246940412530307,-3.6
16.038726553963578,15.6
-3.1693181643846273,-1.8
-3.6628723269891026,-2.0
-2.322468859427701,-3.5
0.7437762961738343,0.7
1.2136514154269378,1.1
13.926127701815837,15.1
21.64391224942367,21.0
-1.7073155733113339,-1.2
-1.42717892020665,-1.8
17.005109219792878,16.3
-6.490603025207172,-5.9
-4.605873559334476,-2.9
0.8815125908875814,1.7
-1.1535809133027541,0.1
3.5783015653004924,2.6
3.139736781409482,1.5
10.300970756744633,10.6
-21.251651343306484,-22.8
-23.545253951586453,-23.7
-21.25822843850174,-21.9
14.242811053316075,14.5
16.22429479784084,16.2
-5.491221101039677,-5.3
24.724211891800522,24.0
11.778346968990803,12.5
-4.351598065674061,-2.0
-5.465532174252047,-4.0
-0.6022704562648258,0.2
9.53303975863816,9.1
-6.598280575558384,-7.4
-1.2129934329086183,0.3
-23.67204659460065,-23.2
3.266908863425975,2.1
1.6023364448979294,2.0
17.966044524709268,17.2
10.130265010804955,9.2
-7.524413305662421,-6.5
-1.6535461752257277,0.5
12.027053658156262,13.2
-14.538679561215723,-13.6
9.944027208325174,9.6
10.42000911900191,11.3
20.085157159793596,19.2
2.608850025760212,2.5
-3.528725464535441,-2.9
9.92997261623676,9.7
0.7570571941544202,2.1
20.375182715288723,20.2
2.591559169386535,2.5
-14.168630602009522,-13.4
2.0329067395581504,1.9
2.5441102157307824,4.3
-0.13154918253979275,-0.7
-21.893823727059164,-22.1
16.29123336429403,16.7
-6.997286191682349,-5.0
-2.9635342450539426,-1.0
6.629562267200804,7.5
-7.65195239179171,-6.1
-2.0773937657277415,-0.4
14.877768904498438,18.0
9.640446988315723,11.0
-2.7624536046432127,-0.8
-3.26015670583741,-1.2
12.70721145391078,11.4
16.061408367908257,15.9
16.45600227918292,17.1
-10.108229658395693,-7.2
2.278112500623216,4.0
17.341399558644767,17.5
2.840537120518306,2.2
1.3022146552003662,2.7
14.85499307622645,17.2
10.820577633542577,11.6
-5.761700092769132,-7.1
3.9396487452722724,3.7
7.8332227469329965,8.9
19.176190572266613,19.5
6.810141265014707,8.7
5.489344882774979,7.0
-0.751562451988697,0.6
15.347435972666318,15.7
1.0377810109414014,0.5
0.3608041544151206,0.7
2.327088372929204,2.5
18.85553117136959,18.8
10.052949954268783,11.2
24.462389651784353,23.4
16.231670760494822,15.0
2.5290241298687732,2.7
5.834013657762988,6.4
9.207040366892357,8.7
4.745513477672304,5.0
7.419806972096453,7.0
10.999892896822686,10.4
8.125649327250848,8.5
4.358586896505194,5.8
4.763164434380343,4.1
4.873148349340823,3.9
7.185643574177767,6.9
10.214787794421653,9.4
15.007857758731603,14.1
4.782499374651799,4.8
13.327764909101681,12.4
4.5937092565661715,4.3
15.231264126826325,15.2
4.403231751774477,4.2
12.355522462901604,12.1
0.7404153292344162,0.5
16.12279109466244,15.6
9.88552981738313,10.4
10.481967402133819,9.5
9.29926177741855,9.5
13.448942215531623,13.4
10.603407233579382,11.5
7.912143651895711,8.9
13.70732763290384,13.3
14.207087562606318,13.3
5.226536132492427,5.4
