fraction,n_rows,rmse,r2
0.1,592489,1.2062704498752042,0.9885960818722743
0.25,1481647,1.2020143107733845,0.9886764138323291
0.5,2963286,1.1772868967312302,0.9891375114077193
0.75,4445277,1.2074781112568325,0.9885732363064238
1.0,5928423,1.2067505388864683,0.9885870026723846
