avg_rmse,elasticNetParam,regParam
1.5659836924720782,0.0,0.0
1.5659836924720782,0.5,0.0
1.5659836924720782,1.0,0.0
1.5660411026043757,0.0,0.01
1.5662124936295607,0.5,0.01
1.5665275656422244,1.0,0.01
1.5712832261639598,0.0,0.1
1.576344330379951,0.5,0.1
1.5888789426802612,1.0,0.1
