fraction,n_rows,rmse,r2
0.1,592489,1.1678219176809146,0.9893114705945074
0.25,1481647,1.1673892144944953,0.989319389788073
0.5,2963286,1.1659281650492523,0.9893461077571136
0.75,4445277,1.1694221266569782,0.98928215859284
1.0,5928423,1.1625796277272369,0.9894072156842731
