Predicted_Temperature_C,Actual_Temperature_C
1.376139153044759,0.0
-3.1543837408101134,-2.7
10.117290395552486,11.0
19.100811957160026,19.8
9.91277735738539,15.5
-3.1543837408101134,-0.9
1.376139153044759,0.0
13.909736390569725,15.6
1.376139153044759,6.4
10.117290395552486,13.0
19.100811957160026,23.0
9.91277735738539,14.2
14.765492677415594,12.2
10.117290395552486,12.0
4.974909440074356,3.4
14.765492677415594,12.2
13.909736390569725,17.2
14.765492677415594,12.2
13.909736390569725,14.7
13.909736390569725,15.2
23.940568306129897,20.2
1.376139153044759,-1.5
14.765492677415594,14.1
17.350642321874798,15.5
10.117290395552486,9.0
18.805119195564558,17.0
19.100811957160026,19.5
14.765492677415594,16.0
14.765492677415594,15.5
18.805119195564558,19.7
10.117290395552486,9.5
18.805119195564558,21.5
14.765492677415594,16.5
18.805119195564558,18.2
23.940568306129897,24.7
10.117290395552486,12.6
18.805119195564558,18.4
18.805119195564558,19.1
14.765492677415594,14.6
14.765492677415594,13.7
18.805119195564558,20.5
18.878026101842188,18.5
1.376139153044759,-3.6
18.805119195564558,15.6
1.376139153044759,-1.8
1.376139153044759,-2.0
-3.1543837408101134,-3.5
1.376139153044759,0.7
1.376139153044759,1.1
14.765492677415594,15.1
22.197511185850736,21.0
1.376139153044759,-1.2
-3.1543837408101134,-1.8
18.805119195564558,16.3
-3.1543837408101134,-5.9
1.376139153044759,-2.9
1.376139153044759,1.7
1.376139153044759,0.1
1.376139153044759,2.6
-3.1543837408101134,1.5
10.117290395552486,10.6
-26.456771019432118,-22.8
-26.456771019432118,-23.7
-26.456771019432118,-21.9
14.765492677415594,14.5
18.805119195564558,16.2
-3.1543837408101134,-5.3
23.940568306129897,24.0
14.765492677415594,12.5
1.376139153044759,-2.0
-3.1543837408101134,-4.0
1.376139153044759,0.2
10.117290395552486,9.1
-3.1543837408101134,-7.4
1.376139153044759,0.3
-26.456771019432118,-23.2
1.376139153044759,2.1
4.974909440074356,2.0
18.805119195564558,17.2
9.91277735738539,9.2
-3.1543837408101134,-6.5
1.376139153044759,0.5
14.765492677415594,13.2
-14.043599717114265,-13.6
9.059042673007092,9.6
14.765492677415594,11.3
18.805119195564558,19.2
1.376139153044759,2.5
-3.1543837408101134,-2.9
9.91277735738539,9.7
4.974909440074356,2.1
18.805119195564558,20.2
1.376139153044759,2.5
-8.489393666678781,-13.4
4.974909440074356,1.9
4.974909440074356,4.3
-3.1543837408101134,-0.7
-26.456771019432118,-22.1
14.765492677415594,16.7
-3.1543837408101134,-5.0
1.376139153044759,-1.0
10.117290395552486,7.5
-3.1543837408101134,-6.1
1.376139153044759,-0.4
21.74222346272518,18.0
14.765492677415594,11.0
1.376139153044759,-0.8
1.376139153044759,-1.2
9.91277735738539,11.4
14.765492677415594,15.9
18.878026101842188,17.1
-3.1543837408101134,-7.2
4.974909440074356,4.0
14.765492677415594,17.5
1.376139153044759,2.2
4.974909440074356,2.7
18.878026101842188,17.2
13.909736390569725,11.6
-14.043599717114265,-7.1
4.974909440074356,3.7
10.117290395552486,8.9
18.805119195564558,19.5
10.117290395552486,8.7
4.974909440074356,7.0
4.974909440074356,0.6
14.765492677415594,15.7
1.376139153044759,0.5
1.376139153044759,0.7
4.974909440074356,2.5
18.805119195564558,18.8
10.117290395552486,11.2
26.461133042579792,23.4
13.909736390569725,15.0
4.974909440074356,2.7
4.974909440074356,6.4
4.974909440074356,8.7
4.974909440074356,5.0
9.91277735738539,7.0
10.117290395552486,10.4
10.117290395552486,8.5
4.974909440074356,5.8
