model,test_rmse,test_r2
DecisionTree_Tuned,1.9103786639379234,0.9717694710808579
GBT_Tuned,1.2335059578344403,0.9882303757003665
LinearRegression_Tuned,1.5411930853264708,0.9816264024015624
RandomForest_Tuned,1.1744477707448693,0.9893304153661263
